series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
CARGSP,CARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in California,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:02-05:00,47,
FLRGSP,FLRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Florida,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:02-05:00,15,
MNRGSP,MNRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Minnesota,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:05-05:00,15,
TXRGSP,TXRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Texas,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:02-05:00,15,
NYRGSP,NYRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in New York,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:03-05:00,14,
PARGSP,PARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Pennsylvania,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:03-05:00,11,
AKRGSP,AKRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Alaska,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:12-05:00,11,
ILRGSP,ILRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Illinois,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:04-05:00,11,
UTRGSP,UTRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Utah,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:04-05:00,11,
LARGSP,LARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Louisiana,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:10-05:00,10,
HIRGSP,HIRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Hawaii,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:11-05:00,9,
VARGSP,VARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Virginia,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:03-05:00,9,
SCRGSP,SCRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in South Carolina,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:06-05:00,9,
ALRGSP,ALRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Alabama,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:03-05:00,8,
OHRGSP,OHRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Ohio,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:04-05:00,7,
MSRGSP,MSRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Mississippi,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:09-05:00,7,
WYRGSP,WYRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Wyoming,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:04-05:00,7,
MIRGSP,MIRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Michigan,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:05-05:00,7,
NDRGSP,NDRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in North Dakota,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:05-05:00,7,
MARGSP,MARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Massachusetts,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:03-05:00,6,
WIRGSP,WIRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Wisconsin,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:12-05:00,6,
GARGSP,GARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Georgia,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:11-05:00,6,
NCRGSP,NCRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in North Carolina,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:05-05:00,6,
AZRGSP,AZRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Arizona,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:06-05:00,5,
KSRGSP,KSRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Kansas,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:14-05:00,5,
CORGSP,CORGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Colorado,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:05-05:00,5,
MTRGSP,MTRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Montana,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:14-05:00,5,
NMRGSP,NMRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in New Mexico,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:04-05:00,5,
IARGSP,IARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Iowa,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:10-05:00,5,
IDRGSP,IDRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Idaho,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:10-05:00,5,
DERGSP,DERGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Delaware,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:15-05:00,4,
MDRGSP,MDRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Maryland,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:09-05:00,4,
NJRGSP,NJRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in New Jersey,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:08-05:00,4,
TNRGSP,TNRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Tennessee,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:13-05:00,4,
VTRGSP,VTRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Vermont,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:05-05:00,4,
OKRGSP,OKRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Oklahoma,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:07-05:00,4,
NERGSP,NERGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Nebraska,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:09-05:00,3,
KYRGSP,KYRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Kentucky,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:14-05:00,3,
ORRGSP,ORRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Oregon,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:07-05:00,3,
MORGSP,MORGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Missouri,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:14-05:00,3,
CTRGSP,CTRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Connecticut,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:15-05:00,3,
WARGSP,WARGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Washington,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:04-05:00,2,
WVRGSP,WVRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in West Virginia,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:06-05:00,2,
ARRGSP,ARRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Arkansas,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:12-05:00,2,
NVRGSP,NVRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Nevada,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:13-05:00,2,
MERGSP,MERGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Maine,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:14-05:00,2,
SDRGSP,SDRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in South Dakota,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:13-05:00,2,
DCRGSP,DCRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in the District of Columbia,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:15-05:00,2,
RIRGSP,RIRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Rhode Island,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:07-05:00,2,
INRGSP,INRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in Indiana,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:10-05:00,2,
USRGSP,USRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in the United States,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:06-05:00,2,
NHRGSP,NHRGSP,2022-11-17,2022-11-17,Real Gross Domestic Product: All Industry Total in New Hampshire,1997-01-01,2021-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2022-09-30 09:14:08-05:00,2,
